id,src_product,dst_product,ql,coverage,cf_view,seam,defined_in,tracked_by
H1->A4,Actuation,Workcell,D2-complete,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
H1->A5,Actuation,QL,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
H2->H0,AIKit,Central,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
H2->H1,AIKit,Actuation,B1,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
H2->H2,AIKit,AIKit,,I,CF3,self:AIKit,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR)
H2->H3,AIKit,Factory,A2|C3,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
H2->H4,AIKit,Workcell,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
H2->H5,AIKit,QL,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
H2->A0,AIKit,Central,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
H2->A1,AIKit,Actuation,D2-require,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
H2->A2,AIKit,AIKit,D1,H,CF3,conjugation:AIKit,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR)
H2->A3,AIKit,Factory,D2-transform|D2-complete,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
H2->A4,AIKit,Workcell,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
H2->A5,AIKit,QL,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
H3->H0,Factory,Central,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
H3->H1,Factory,Actuation,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
H3->H2,Factory,AIKit,A2|C3,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
H3->H3,Factory,Factory,,I,CF4,self:Factory,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#131(PR);EpiLogos/agent-system-design#142(PR)
H3->H4,Factory,Workcell,B2,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
H3->H5,Factory,QL,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
H3->A0,Factory,Central,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
H3->A1,Factory,Actuation,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
H3->A2,Factory,AIKit,D2-require|D2-complete,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
H3->A3,Factory,Factory,D1,H,CF4,conjugation:Factory,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#131(PR);EpiLogos/agent-system-design#142(PR)
H3->A4,Factory,Workcell,D2-transform,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
H3->A5,Factory,QL,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
H4->H0,Workcell,Central,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
H4->H1,Workcell,Actuation,C2,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
H4->H2,Workcell,AIKit,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
H4->H3,Workcell,Factory,B2,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
H4->H4,Workcell,Workcell,,I,CF5-field,self:Workcell,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR)
H4->H5,Workcell,QL,A3,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
H4->A0,Workcell,Central,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
H4->A1,Workcell,Actuation,D2-complete,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
H4->A2,Workcell,AIKit,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
H4->A3,Workcell,Factory,D2-require,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
H4->A4,Workcell,Workcell,D1,H,CF5-field,conjugation:Workcell,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR)
H4->A5,Workcell,QL,D2-transform,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
H5->H0,QL,Central,B3|C1,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
H5->H1,QL,Actuation,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
H5->H2,QL,AIKit,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
H5->H3,QL,Factory,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
H5->H4,QL,Workcell,A3,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
H5->H5,QL,QL,,I,,self:QL,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/QL-MEF#19(PR)
H5->A0,QL,Central,D2-transform|D2-complete,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
H5->A1,QL,Actuation,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
H5->A2,QL,AIKit,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
H5->A3,QL,Factory,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
H5->A4,QL,Workcell,D2-require,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
H5->A5,QL,QL,D1,H,,conjugation:QL,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/QL-MEF#19(PR)
A0->H0,Central,Central,D1.inverse,H,CF1,conjugation:Central,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR)
A0->H1,Central,Actuation,D2-require.inverse,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
A0->H2,Central,AIKit,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
A0->H3,Central,Factory,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
A0->H4,Central,Workcell,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
A0->H5,Central,QL,D2-transform.inverse|D2-complete.inverse,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
A0->A0,Central,Central,,I,CF1,self:Central,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR)
A0->A1,Central,Actuation,D3:A1,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
A0->A2,Central,AIKit,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
A0->A3,Central,Factory,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
A0->A4,Central,Workcell,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
A0->A5,Central,QL,D3:B3|D3:C1,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
A1->H0,Actuation,Central,D2-transform.inverse,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
A1->H1,Actuation,Actuation,D1.inverse,H,CF2,conjugation:Actuation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Actuation#4
A1->H2,Actuation,AIKit,D2-require.inverse,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
A1->H3,Actuation,Factory,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
A1->H4,Actuation,Workcell,D2-complete.inverse,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
A1->H5,Actuation,QL,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
A1->A0,Actuation,Central,D3:A1,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
A1->A1,Actuation,Actuation,,I,CF2,self:Actuation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Actuation#4
A1->A2,Actuation,AIKit,D3:B1,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
A1->A3,Actuation,Factory,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
A1->A4,Actuation,Workcell,D3:C2,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
A1->A5,Actuation,QL,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
A2->H0,AIKit,Central,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
A2->H1,AIKit,Actuation,D2-transform.inverse,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
A2->H2,AIKit,AIKit,D1.inverse,H,CF3,conjugation:AIKit,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR)
A2->H3,AIKit,Factory,D2-require.inverse|D2-complete.inverse,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
A2->H4,AIKit,Workcell,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
A2->H5,AIKit,QL,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
A2->A0,AIKit,Central,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
A2->A1,AIKit,Actuation,D3:B1,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
A2->A2,AIKit,AIKit,,I,CF3,self:AIKit,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR)
A2->A3,AIKit,Factory,D3:A2|D3:C3,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
A2->A4,AIKit,Workcell,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
A2->A5,AIKit,QL,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
A3->H0,Factory,Central,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
A3->H1,Factory,Actuation,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
A3->H2,Factory,AIKit,D2-transform.inverse|D2-complete.inverse,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
A3->H3,Factory,Factory,D1.inverse,H,CF4,conjugation:Factory,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#131(PR);EpiLogos/agent-system-design#142(PR)
A3->H4,Factory,Workcell,D2-require.inverse,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
A3->H5,Factory,QL,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
A3->A0,Factory,Central,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
A3->A1,Factory,Actuation,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
A3->A2,Factory,AIKit,D3:A2|D3:C3,H,CF4,23:possibility-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/agent-system-design#142(PR)
